id,title,description,example
1,"Nguyên âm & phụ âm cơ bản","10 nguyên âm đơn: ㅏ ㅑ ㅓ ㅕ ㅗ ㅛ ㅜ ㅠ ㅡ ㅣ\nPhụ âm đầu mềm (ㄱ/ㄷ/ㅂ ≈ g/d/b), cuối âm khoá [k/t/p]","가다 [가다]\n밥 [pap]\n옷 [ot]"
2,"7 âm cuối chuẩn (받침)","Chuẩn hoá về 7 âm cuối: k-n-t-l-m-p-ng","밖 [pak]\n값 [kap]\n옷 [ot]\n달 [dal]\n밤 [pam]\n밥 [pap]\n방 [bang]"
3,"Liên kết âm (연음)","받침 + (ㅇ- nguyên âm) → kéo sang âm sau","밥을 → [바블]\n꽃을 → [꼬츨]\n옷이 → [오시]\n좋아해요 → [조아해요]"
4,"Bật hơi vs Căng (ㅋ/ㅌ/ㅍ/ㅊ & ㄲ/ㄸ/ㅃ/ㅆ/ㅉ)","Bật hơi: ㅋ ㅌ ㅍ ㅊ\nCăng (không bật hơi): ㄲ ㄸ ㅃ ㅆ ㅉ","커피 [커피]\n차 [차]\n학교 [학꾜]\n아빠 [아빠]"
5,"ㅅ trước ㅣ nghe như “shi”","시/셔/쇼/슈 ≈ [ɕi/ɕʌ/ɕo/ɕu]\nㅅ làm 받침 (không liên kết) đọc [t]","시 [시], 십 [십]\n맛있어요 → [마시써요]\n옷 [ot] / 옷이 [오시]"
6,"Mũi hoá (비음화) trước ㄴ/ㅁ","받침 ㄱ/ㄷ/ㅂ + ㄴ/ㅁ → ㅇ/ㄴ/ㅁ + ㄴ/ㅁ","한국말 → [한궁말]\n앞문 → [암문]\n국물 → [궁물]"
7,"Hoá /l/ (유음화) với ㄴ/ㄹ","ㄴ+ㄹ hoặc ㄹ+ㄴ → [ll]","신라 → [실라]\n설날 → [설랄]\n물난리 → [물랄리]"
8,"Căng hoá sau 받침 (경음화)","받침 ㄱ/ㄷ/ㅂ + đầu ㄱ/ㄷ/ㅂ/ㅅ/ㅈ → ㄲ/ㄸ/ㅃ/ㅆ/ㅉ","국수 → [국쑤]\n백지 → [백찌]\n앞쪽 → [압쪽]"
9,"ㅎ yếu/bật hơi (ㅎ 약화·격음화)","(받침/đầu) ㅎ + ㄱ/ㄷ/ㅂ/ㅈ → ㅋ/ㅌ/ㅍ/ㅊ; ㅎ có thể yếu đi","좋다 → [조타]\n놓고 → [노코]\n많지 → [만치]"
10,"Hoá “ch” (구개음화)","ㄷ/ㅌ + ㅣ/여/요… → ㅈ/ㅊ","같이 → [가치]\n미닫이 → [미다지]\n끝이 → [끄치]"
11,"겹받침: không liên kết","Khi sau **không** có nguyên âm: đọc phụ âm **phải** theo 7 âm","읽다 → [익따]\n없다 → [업따]\n앉다 → [안따]"
12,"겹받침: có liên kết","Khi sau là nguyên âm: phụ âm **trái** chạy sang sau","읽어요 → [일거요]\n값이 → [갑씨]\n젊은 → [절믄]"
13,"Đuôi lịch sự -아요/-어요","ㅏ/ㅗ → -아요; còn lại → -어요; đọc trơn, không ngắt","좋아요 → [조아요]\n괜찮아요 → [괜차나요]\n먹어요 → [머거요]"
14,"(이)예요","Có 받침 → 이에요; không 받침 → 예요","학생이에요 [학생이에요]\n의사예요 [의사예요]\n가수예요 [가수예요]"
15,"Tháng đặc biệt","6월 → 유월 (không *륙월*), 10월 → 시월 (không *십월*)","6월 → [유월]\n10월 → [시월]\n12월 → [시비월(연음 자연)]"
16,"Tiểu từ dính âm","은/는, 이/가, 을/를 dính chặt, áp dụng 연음/받침","밥을 → [바블]\n책이 → [채기]\n저를 → [저를~절]"
17,"Ngữ điệu câu","Câu trần thuật: nhịp đều; Câu hỏi: lên nhẹ cuối câu","가요. (↘ nhẹ)\n가요? (↗ nhẹ)\n어디에 가요? (↗ cuối)"
18,"Âm đầu vs cuối cho ㄱ/ㄷ/ㅂ","Đầu mềm (g/d/b); cuối khoá [k/t/p]","가방 [가방]\n밥 [pap]\n곧 [kot]"
19,"Quy tắc ㄹ","Giữa nguyên âm ≈ [ɾ]; cuối âm/đứng trước phụ âm → [l]","나라 [나라]\n별 [bjʌl]\n길 [kil]"
20,"Trọng âm & nhịp","Không có trọng âm mạnh kiểu tiếng Anh; giữ nhịp đều theo khối chữ","안녕하세요 → nhịp 5 khối: 안-녕-하-세-요\n감사합니다 → 감-사-합-니-다"
21,"Mẹo ㅐ vs ㅔ","Ở sơ cấp đọc gần [e] cả hai để tự tin, phân biệt chính tả sau","새/세 ≈ [se]\n내일/네일 đều gần [ne-il] (cẩn chính tả)"
22,"Liên kết với 좋-, 같-","좋 + -아/어 → 좋아요 [조아요]; 것 같- thường căng hoá","좋다 → [조타]\n좋아요 → [조아요]\n것 같아요 → [걷 가타요]"
23,"Chuỗi thường gặp gây biến âm","Tổ hợp quy tắc xảy ra đồng thời: 연음 + 경음화 + 비음화…","국어 → [구거]\n한국어 → [한구거]\n맛있어요 → [마시써요]"
24,"Cặp luyện bắt buộc 1","Ôn quy tắc qua cặp gần nghĩa/âm","학교 [학꾜] / 국수 [국쑤]\n읽다 [익따] / 읽어요 [일거요]"
25,"Cặp luyện bắt buộc 2","Ôn quy tắc qua cặp gần nghĩa/âm","좋다 [조타] / 많지 [만치]\n같이 [가치] / 같이 가요 [가치 가요]"
26,"Lỗi thường gặp & sửa nhanh","Quên liên kết; nhầm bật hơi vs căng; không mũi hoá trước ㄴ/ㅁ; ㅎ đọc quá mạnh","Kiểm: 받침 + ㅇ- thì phải kéo\nPhân biệt: ㅋ/ㅌ/ㅍ/ㅊ (có hơi) ≠ ㄲ/ㄸ/ㅃ/ㅆ/ㅉ (căng)\nTrước ㄴ/ㅁ phải mũi hoá"
id,title,description,example
42,"'의' cách đọc (tổng quát)","Đầu từ: [ɰi]\nSau phụ âm/giữa từ: thiên [e]\nTiểu từ sở hữu '의' đọc [e]","의자 → [ɰ이자]\n무늬 → [무니~무네]\n한국의 역사 → [한국에 역사]"
43,"Nguyên âm ghép ㅚ/ㅞ/ㅟ","ㅚ ≈ [we] (khẩu ngữ đôi khi gần [ø~we])\nㅞ = [we]\nㅟ = [wi]","되다 → [되다~dwe-da]\n돼요 → [돼요~dwe-yo]\n쥐 → [wi]"
44,"Phụ âm cuối kép /ㄼ/ (겹받침)","Không liên kết: thường về [l] (thuộc nhóm ㄹ)\nCó liên kết (sau là nguyên âm): ㄹ giữ, ㅂ sang sau\nNgoại lệ hay gặp: 밟다 [밥따]","넓다 → [널따]\n넓어요 → [널버요]\n밟다 → [밥따]\n밟아요 → [발바요]"
45,"Lenis ‘hữu hoá’ ㅂ, ㄷ, ㅈ, ㄱ, ㅅ (giữa nguyên âm)","Giữa nguyên âm/âm hữu thanh, phụ âm nhẹ (lenis) nghe ‘mềm/giống hữu thanh’ hơn; vẫn giữ quy tắc chính tả khi cần căng/bật hơi","가방 → [가방(ga-)]\n보다 → [보다(bo-)]\n아주 → [아주]\n하고 → [하고]\n사과 → [사과(~sa-gwa)]"
46,"Phụ âm sau ㄹ (tensification)","Chuỗi ㄹ + ㄱ/ㄷ/ㅂ/ㅅ/ㅈ → phụ âm sau dễ **căng** trong khẩu ngữ","할 거예요 → [할꺼예요]\n갈 수 있어요 → [갈쑤 있어요]\n물질 → [물찔]"
47,"Phát âm 이/야/여/요/유 sau phụ âm cuối","Liên kết: 받침 + (ㅇ-이/야/여/요/유) → kéo sang sau\nPalatal hoá: ㄷ/ㅌ + 이/여/요/유 → ㅈ/ㅊ","같이 → [가치]\n끝이 → [끄치]\n맛있어요 → [마시써요]"
48,"Phụ âm cuối kép /ㄺ/ (겹받침)","Không liên kết: chuẩn về [k] (thuộc nhóm ㄱ)\nCó liên kết (sau là nguyên âm): ㄹ giữ, ㄱ sang sau","읽다 → [익따]\n읽어요 → [일거요]\n읽을 → [일글]"
49,"Kết thúc là ㅣ + tiếp nối là ㅓ; co rút ㅗ/ㅓ","Gốc ㅣ + -어 → **-여** (여/예)\nGốc ㅗ + -아 → **-와**, ㅜ + -어 → **-워**","살피어 → 살펴 [살펴]\n되어 → 돼 [돼]\n오아 → 와, 주어 → 줘"
50,"받침 ㅅ + nguyên âm (liên kết)","ㅅ đứng cuối → [t]; gặp nguyên âm sau → sang sau, trước ㅣ nghe [ɕ]","옷 → [ot]\n옷이 → [오시]\n맛있어 → [마시써]"
51,"Phụ âm ㄹ và ㄴ (유음화)","ㄴ+ㄹ / ㄹ+ㄴ → [ll]; giữ nhịp đều, không tách mạnh","신라 → [실라]\n설날 → [설랄]\n물난리 → [물랄리]"
52,"Nguyên âm đôi + phụ âm ‘răng’ (alveolar)","Trước ㅣ/야/여/요/유: ㅅ ≈ [ɕ], ㄷ/ㅌ + ㅣ/여/요/유 → ㅈ/ㅊ (구개음화)","시/셔/쇼/슈 → [ɕi/ɕʌ/ɕo/ɕu]\n같이 → [가치]\n끝이어 → [끄치어]"
53,"ㄹ kết hợp với âm mũi","Một số 겹받침 có ㄹ+ㅁ/ㄹ+ㄴ đồng hoá theo 7 âm; trước ㄴ/ㅁ có thể mũi hoá lân cận","젊다 → [점따]\n젊어요 → [절머요]\n신랑님 → [실랑님]"
54,"Trọng âm/trọng tâm nhấn câu (ngữ điệu)","Tiếng Hàn không có trọng âm từ vựng mạnh kiểu EN; nhấn bằng **trọng tâm câu** và ngữ điệu: câu trần thuật ↓ nhẹ, câu hỏi ↑ nhẹ; nhấn nội dung đặt trọng tâm lên từ/cụm cần nhấn","가요. (↘ nhẹ)\n가요? (↗ nhẹ)\n오늘 **너** 가요 (nhấn ‘너’ bằng cao độ/kéo dài nhẹ)"
55,"Tóm tắt quy tắc liên quan chuỗi thường gặp","Kết hợp nhiều quy tắc: 연음 + 경음화 + 비음화 + ㅎ약화/격음화","국어 → [구거]\n값이 → [갑씨]\n좋게 → [조케]\n십륙 → [심뉵]"
