id,korean,vietnamese,english,example1_ko,example1_vi,example1_en,example2_ko,example2_vi,example2_en
113,시끄럽다,Ồn ào,Noisy,"음악이 시끄러워요.","Nhạc ồn ào.","The music is noisy.","시끄러운 곳을 싫어해요.","Tôi không thích nơi ồn ào.","I dislike noisy places."
114,좁다,Hẹp,Narrow,"방이 좁아요.","Phòng hẹp.","The room is narrow.","좁은 길을 걸었어요.","Tôi đã đi trên con đường hẹp.","I walked on a narrow road."
115,추억,Kỷ niệm,Memory,"좋은 추억이 있어요.","Có kỷ niệm đẹp.","I have good memories.","추억을 만들었어요.","Tôi đã tạo kỷ niệm.","I made memories."
116,하얀색,Màu trắng,White,"하얀색 옷을 입었어요.","Tôi đã mặc áo màu trắng.","I wore white clothes.","하얀색 꽃이 예뻐요.","Hoa màu trắng đẹp.","White flowers are pretty."
117,전화를 끊다,Cúp máy,Hang up the phone,"전화를 끊었어요.","Tôi đã cúp máy.","I hung up the phone.","통화 후에 전화를 끊으세요.","Sau khi nói chuyện hãy cúp máy.","Hang up after the call."
118,통화 중이다,Đang nghe máy,The line is busy,"통화 중입니다.","Đang nghe máy.","The line is busy.","계속 통화 중이에요.","Vẫn đang nghe máy.","Still on the line."
119,문자 메시지를 받다,Nhận tin nhắn,Receive a text message,"문자 메시지를 받았어요.","Tôi đã nhận được tin nhắn.","I received a text message.","친구에게서 문자 메시지를 받았어요.","Tôi nhận tin nhắn từ bạn.","I got a text from a friend."
120,답장을 보내다,Gửi hồi âm,Send a reply,"답장을 보냈어요.","Tôi đã gửi hồi âm.","I sent a reply.","친구에게 답장을 보내세요.","Hãy gửi hồi âm cho bạn.","Send a reply to your friend."
121,답장을 받다,Nhận hồi âm,Receive a reply,"답장을 받았어요.","Tôi đã nhận được hồi âm.","I received a reply.","친구에게서 답장을 받았어요.","Tôi nhận hồi âm từ bạn.","I got a reply from a friend."
122,그런데요?,Vâng, tôi nghe đây?/Có việc gì vậy?,Yes?/How can I help you?,"그런데요?","Vâng, tôi nghe đây?","Yes?","거기 김선생님 댁이지요? 그런데요?","Đây là nhà thầy Kim phải không? Vâng, tôi nghe đây.","Is this Mr. Kim's house? Yes?"
123,거기(...)지요?,Đó là ... phải không?,Is that ...?,"거기 학교지요?","Đó là trường học phải không?","Is that the school?","거기 병원이죠?","Đó là bệnh viện phải không?","Is that the hospital?"
124,실례지만 누구세요?,Xin lỗi, ai đấy ạ?,Excuse me, who is this?,"실례지만 누구세요?","Xin lỗi, ai đấy ạ?","Excuse me, who is this?","전화할 때 실례지만 누구세요?라고 물어요.","Khi gọi điện hãy hỏi 'Xin lỗi, ai đấy ạ?'.","When calling, ask 'Excuse me, who is this?'"
125,(____)계세요?,Có ... ở đó không?,Is ... there?,"(____)계세요?","Có ... ở đó không?","Is ... there?","선생님 계세요?","Thầy có ở đó không?","Is the teacher there?"
126,지금 없네요,Bây giờ không có ở đây,Not here right now,"지금 없네요.","Bây giờ không có ở đây.","Not here right now.","지금 집에 없네요.","Bây giờ không có ở nhà.","Not at home right now."
127,바꿔 주시겠어요?,Bạn có thể chuyển máy giúp tôi không?,Could you transfer the call?,"바꿔 주시겠어요?","Bạn có thể chuyển máy giúp tôi không?","Could you transfer the call?","부장님께 바꿔 주시겠어요?","Bạn có thể chuyển máy cho trưởng phòng không?","Could you transfer to the manager?"
128,잠깐 외출하셨는데요,Đã ra ngoài một lát rồi,He/She went out for a while,"잠깐 외출하셨는데요.","Đã ra ngoài một lát rồi.","He/She went out for a while.","지금 잠깐 외출하셨어요.","Bây giờ đã ra ngoài một lát rồi.","He/She just went out for a while."
129,메모 좀 전해주세요/말씀 좀 전해주세요,Xin chuyển lời nhắn/Xin chuyển lời giúp tôi,Please pass on a message,"메모 좀 전해주세요.","Xin chuyển lời nhắn giúp tôi.","Please pass on a message.","말씀 좀 전해주세요.","Xin chuyển lời giúp tôi.","Please pass on my words."
130,메모 전해드리겠습니다/말씀 전해드리겠습니다,Tôi sẽ chuyển lời nhắn/Tôi sẽ chuyển lời,I'll pass on the message,"메모 전해드리겠습니다.","Tôi sẽ chuyển lời nhắn.","I'll pass on the message.","말씀 전해드리겠습니다.","Tôi sẽ chuyển lời.","I'll pass on your words."
131,다시 전화 하겠습니다,Tôi sẽ gọi lại,I will call again,"다시 전화 하겠습니다.","Tôi sẽ gọi lại.","I will call again.","나중에 다시 전화 하겠습니다.","Tôi sẽ gọi lại sau.","I will call again later."
132,누구라고 전해드릴까요?,Tôi nên nói là ai gọi?,Who should I say is calling?,"누구라고 전해드릴까요?","Tôi nên nói là ai gọi?","Who should I say is calling?","전화할 때 누구라고 전해드릴까요?라고 물어요.","Khi gọi điện hãy hỏi 'Tôi nên nói là ai gọi?'.","When calling, ask 'Who should I say is calling?'"
133,깨우다,Đánh thức,Wake up,"아침에 동생을 깨웠어요.","Tôi đã đánh thức em vào buổi sáng.","I woke up my younger sibling in the morning.","친구를 깨우다.","Đánh thức bạn.","Wake up a friend."
134,남기다,Để lại,Leave,"메시지를 남겼어요.","Tôi đã để lại tin nhắn.","I left a message.","음식을 남기지 마세요.","Đừng để lại thức ăn.","Don't leave food."
135,내다,Nộp/Trả,Pay/Submit,"숙제를 냈어요.","Tôi đã nộp bài tập.","I submitted homework.","돈을 내다.","Trả tiền.","Pay money."
136,대사관,Đại sứ quán,Embassy,"대사관에 갔어요.","Tôi đã đến đại sứ quán.","I went to the embassy.","비자를 받으러 대사관에 갑니다.","Tôi đến đại sứ quán để lấy visa.","I go to the embassy to get a visa."
137,들어오다,Đi vào,Enter (come in),"방에 들어오세요.","Hãy vào phòng.","Please come into the room.","집에 들어왔어요.","Tôi đã vào nhà.","I came into the house."
138,들어가다,Đi vào,Enter (go in),"학교에 들어가요.","Tôi vào trường.","I go into the school.","가게에 들어갔어요.","Tôi đã vào cửa hàng.","I went into the store."
139,말씀 드리다,Nói (kính ngữ),Say (honorific),"말씀 드릴 게 있어요.","Tôi có điều muốn nói.","I have something to say.","선생님께 말씀 드렸어요.","Tôi đã nói với thầy giáo.","I told the teacher."
140,맞다,Đúng,Correct,"정답이 맞아요.","Đáp án đúng.","The answer is correct.","말이 맞아요.","Lời nói đúng.","The words are correct."
141,얼마나,Bao nhiêu/bao lâu,How much/how long,"얼마나 걸려요?","Mất bao lâu?","How long does it take?","얼마나 비싸요?","Bao nhiêu tiền?","How much is it?"
142,정하다,Quyết định,Decide,"시간을 정했어요.","Tôi đã quyết định thời gian.","I decided the time.","장소를 정하다.","Quyết định địa điểm.","Decide the place."
143,짐,Hành lý,Baggage,"짐을 쌌어요.","Tôi đã đóng gói hành lý.","I packed my baggage.","짐이 많아요.","Có nhiều hành lý.","There is a lot of baggage."
144,잔치,Bữa tiệc,Feast/Party,"잔치에 초대받았어요.","Tôi đã được mời đến bữa tiệc.","I was invited to the party.","생일 잔치를 열었어요.","Tôi đã tổ chức tiệc sinh nhật.","I held a birthday party."
145,화장품,Mỹ phẩm,Cosmetics,"화장품을 샀어요.","Tôi đã mua mỹ phẩm.","I bought cosmetics.","화장품을 사용해요.","Tôi dùng mỹ phẩm.","I use cosmetics."
146,손수건,Khăn tay,Handkerchief,"손수건을 가지고 다녀요.","Tôi mang theo khăn tay.","I carry a handkerchief.","손수건으로 얼굴을 닦아요.","Tôi lau mặt bằng khăn tay.","I wipe my face with a handkerchief."
147,넥타이,Cà vạt,Necktie,"넥타이를 맸어요.","Tôi đã thắt cà vạt.","I wore a necktie.","넥타이가 예뻐요.","Cà vạt đẹp.","The necktie is pretty."
148,귀걸이,Bông tai,Earrings,"귀걸이를 샀어요.","Tôi đã mua bông tai.","I bought earrings.","귀걸이를 했어요.","Tôi đã đeo bông tai.","I wore earrings."
149,목걸이,Dây chuyền,Necklace,"목걸이를 샀어요.","Tôi đã mua dây chuyền.","I bought a necklace.","목걸이를 했어요.","Tôi đã đeo dây chuyền.","I wore a necklace."
150,그분,Người đó,That person,"그분은 친절해요.","Người đó rất thân thiện.","That person is kind.","그분을 만났어요.","Tôi đã gặp người đó.","I met that person."
151,반지,Nhẫn,Ring,"반지를 끼었어요.","Tôi đã đeo nhẫn.","I wore a ring.","반지를 샀어요.","Tôi đã mua nhẫn.","I bought a ring."
152,꽃다발,Bó hoa,Bouquet,"꽃다발을 받았어요.","Tôi đã nhận bó hoa.","I received a bouquet.","꽃다발을 선물했어요.","Tôi đã tặng bó hoa.","I gave a bouquet."
153,고르다,Chọn,Choose,"선물을 고르세요.","Hãy chọn quà.","Choose a present.","책을 고르다.","Chọn sách.","Choose a book."
154,가볍다,Nhẹ,Light,"가벼운 가방이에요.","Đây là túi nhẹ.","It is a light bag.","가볍게 들 수 있어요.","Có thể mang nhẹ nhàng.","Can carry lightly."
155,길다,Dài,Long,"머리가 길어요.","Tóc dài.","Hair is long.","길게 늘어져 있어요.","Được kéo dài ra.","It is stretched long."
156,짧다,Ngắn,Short,"치마가 짧아요.","Váy ngắn.","The skirt is short.","짧은 머리예요.","Tóc ngắn.","Short hair."
157,꼭,Nhất định/Sát,Definitely/Exactly,"꼭 오세요.","Nhất định hãy đến nhé.","Please come for sure.","꼭 맞아요.","Vừa khít.","It fits exactly."
158,무겁다,Nặng,Heavy,"가방이 무거워요.","Túi nặng.","The bag is heavy.","무거운 짐을 들었어요.","Tôi đã mang hành lý nặng.","I carried heavy baggage."
159,번째,Lần/thứ,Time/Order,"첫 번째입니다.","Lần thứ nhất.","It's the first time.","두 번째로 왔어요.","Đã đến lần thứ hai.","Came for the second time."
160,부르다,Gọi/Hát,Call/Sing,"이름을 불러요.","Gọi tên.","Call the name.","노래를 부르다.","Hát bài hát.","Sing a song."
161,생활,Sinh hoạt,Life,"한국 생활이 어때요?","Cuộc sống ở Hàn Quốc thế nào?","How is life in Korea?","생활이 바빠요.","Cuộc sống bận rộn.","Life is busy."
162,스웨터,Áo len,Sweater,"스웨터를 입었어요.","Tôi đã mặc áo len.","I wore a sweater.","스웨터가 따뜻해요.","Áo len ấm.","The sweater is warm."
163,시청,Tòa thị chính,City hall,"시청에 갔어요.","Tôi đã đến tòa thị chính.","I went to city hall.","시청에서 일해요.","Tôi làm việc ở tòa thị chính.","I work at city hall."
164,오래간만,Lâu rồi,Long time no see,"오래간만이에요!","Lâu rồi không gặp!","Long time no see!","오래간만에 만났어요.","Gặp lại sau lâu ngày.","Met after a long time."
165,웃다,Cười,Laugh,"웃고 있어요.","Đang cười.","Laughing.","친구와 함께 웃었어요.","Đã cười cùng bạn.","Laughed with a friend."
166,장미,Hoa hồng,Rose,"장미꽃이 예뻐요.","Hoa hồng đẹp.","The rose is pretty.","장미를 선물했어요.","Tôi đã tặng hoa hồng.","I gave a rose."
167,참,Rất/Thật sự,Really/Very,"참 예뻐요.","Thật đẹp.","Really pretty.","참 좋은 사람이에요.","Là người rất tốt.","He/She is a very good person."
168,첫,Đầu tiên,First,"첫 사랑이에요.","Mối tình đầu.","First love.","첫 번째로 왔어요.","Đã đến lần đầu tiên.","Came for the first time."
169,향수,Nước hoa/nhớ nhà,Perfume/Homesickness,"향수를 뿌렸어요.","Tôi đã xịt nước hoa.","I sprayed perfume.","고향에 대한 향수가 있어요.","Có nỗi nhớ quê hương.","I feel homesick."
170,환갑,Sinh nhật 60 tuổi (mừng thọ),60th birthday,"환갑 잔치를 열었어요.","Tôi đã tổ chức tiệc mừng thọ 60 tuổi.","I held a 60th birthday party.","부모님의 환갑을 축하했어요.","Tôi đã chúc mừng sinh nhật 60 tuổi của bố mẹ.","I celebrated my parents' 60th birthday."
171,서른,Ba mươi,Thirty,"서른 살이에요.","Tôi ba mươi tuổi.","I am thirty years old.","서른 명이 있어요.","Có ba mươi người.","There are thirty people."
172,마흔,Bốn mươi,Forty,"마흔 살입니다.","Tôi bốn mươi tuổi.","I am forty years old.","마흔 명이 모였어요.","Có bốn mươi người tụ họp.","Forty people gathered."
173,쉰,Năm mươi,Fifty,"쉰 살이에요.","Tôi năm mươi tuổi.","I am fifty years old.","쉰 명이 있어요.","Có năm mươi người.","There are fifty people."
174,예순,Sáu mươi,Sixty,"예순 살입니다.","Tôi sáu mươi tuổi.","I am sixty years old.","예순 명이 모였어요.","Có sáu mươi người tụ họp.","Sixty people gathered."
175,일흔,Bảy mươi,Seventy,"일흔 살이에요.","Tôi bảy mươi tuổi.","I am seventy years old.","일흔 명이 있어요.","Có bảy mươi người.","There are seventy people."
176,여든,Tám mươi,Eighty,"여든 살입니다.","Tôi tám mươi tuổi.","I am eighty years old.","여든 명이 모였어요.","Có tám mươi người tụ họp.","Eighty people gathered."
177,아흔,Chín mươi,Ninety,"아흔 살이에요.","Tôi chín mươi tuổi.","I am ninety years old.","아흔 명이 있어요.","Có chín mươi người.","There are ninety people."
178,족구,Bóng chuyền chân,Foot volleyball,"족구를 했어요.","Tôi đã chơi bóng chuyền chân.","I played foot volleyball.","족구가 재미있어요.","Bóng chuyền chân rất vui.","Foot volleyball is fun."
179,음악감상,Nghe nhạc,Listening to music,"음악감상을 좋아해요.","Tôi thích nghe nhạc.","I like listening to music.","음악감상을 자주 해요.","Thường xuyên nghe nhạc.","I often listen to music."
180,우표수집/모으기,Sưu tập tem,Stamp collecting,"우표수집을 해요.","Tôi sưu tập tem.","I collect stamps.","우표를 모으기 좋아해요.","Tôi thích sưu tập tem.","I like collecting stamps."
181,항상/언제나,Luôn luôn,Always,"항상 건강하세요.","Chúc luôn khỏe mạnh.","Always be healthy.","언제나 행복하세요.","Chúc luôn hạnh phúc.","Always be happy."
182,거의안,Hầu như không,Hardly,"거의 안 먹어요.","Hầu như không ăn.","Hardly eat.","거의 안 가요.","Hầu như không đi.","Hardly go."
183,전혀,Hoàn toàn không,Never,"전혀 몰라요.","Hoàn toàn không biết.","I don't know at all.","전혀 안 해요.","Hoàn toàn không làm.","Never do."
184,가곡,Bài hát cổ điển,Art song,"가곡을 부르다.","Hát bài hát cổ điển.","Sing an art song.","가곡을 듣다.","Nghe bài hát cổ điển.","Listen to an art song."
185,가요,Bài hát phổ thông,Popular song,"가요를 좋아해요.","Tôi thích bài hát phổ thông.","I like popular songs.","가요를 자주 들어요.","Thường xuyên nghe bài hát phổ thông.","I often listen to popular songs."
186,건강,Sức khỏe,Health,"건강이 중요해요.","Sức khỏe quan trọng.","Health is important.","건강을 지키세요.","Giữ gìn sức khỏe nhé.","Take care of your health."
187,걷다,Đi bộ,Walk,"공원을 걷다.","Đi bộ trong công viên.","Walk in the park.","매일 걷기를 해요.","Tôi đi bộ mỗi ngày.","I walk every day."
188,경치,Cảnh trí,Scenery,"경치가 아름다워요.","Cảnh đẹp.","The scenery is beautiful.","산의 경치를 구경했어요.","Tôi đã ngắm cảnh núi.","I enjoyed the mountain scenery."
189,고등학교,Trường cấp 3,High school,"고등학교에 다녀요.","Tôi học ở trường cấp 3.","I go to high school.","고등학교 친구를 만났어요.","Tôi đã gặp bạn cấp 3.","I met my high school friend."
190,기초,Cơ bản,Basic,"기초부터 배우세요.","Hãy học từ cơ bản.","Learn from the basics.","기초가 중요해요.","Cơ bản rất quan trọng.","Basics are important."
191,묻다,Hỏi,Ask,"질문을 묻다.","Đặt câu hỏi.","Ask a question.","선생님께 묻다.","Hỏi thầy giáo.","Ask the teacher."
192,아침마다,Mỗi sáng,Every morning,"아침마다 운동해요.","Tôi tập thể dục mỗi sáng.","I exercise every morning.","아침마다 일찍 일어나요.","Tôi dậy sớm mỗi sáng.","I get up early every morning."
193,어렵다,Khó,Hard,"문제가 어렵다.","Câu hỏi khó.","The question is hard.","한국어가 어렵다.","Tiếng Hàn khó.","Korean is difficult."
194,자막,Phụ đề,Subtitle,"영화에 자막이 있어요.","Phim có phụ đề.","The movie has subtitles.","자막을 읽으면서 공부해요.","Tôi học bằng cách đọc phụ đề.","I study by reading subtitles."
195,정도,Khoảng/Trình độ,About/Level,"한 시간 정도 걸려요.","Mất khoảng một tiếng.","It takes about an hour.","어느 정도 할 수 있어요.","Có thể làm ở mức độ nào đó.","Can do to some extent."
196,주로,Chủ yếu,Mainly,"주로 집에서 공부해요.","Tôi chủ yếu học ở nhà.","I mainly study at home.","주로 한국 음식을 먹어요.","Tôi chủ yếu ăn món Hàn.","I mainly eat Korean food."
197,준비물,Vật dụng chuẩn bị,Things to prepare,"준비물을 챙기세요.","Hãy chuẩn bị vật dụng.","Prepare your things.","준비물이 필요해요.","Cần vật dụng chuẩn bị.","Need things to prepare."
198,채팅하다,Trò chuyện online,Chat online,"친구와 채팅했어요.","Tôi đã trò chuyện với bạn online.","I chatted with my friend online.","채팅으로 연락해요.","Liên lạc qua chat.","Contact via chat."
199,해외여행,Du lịch nước ngoài,Overseas travel,"해외여행을 가고 싶어요.","Tôi muốn đi du lịch nước ngoài.","I want to travel abroad.","해외여행 준비를 해요.","Chuẩn bị cho chuyến du lịch nước ngoài.","Prepare for overseas travel."
200,배,Thuyền/Con tàu,Ship/Boat,"배를 탔어요.","Tôi đã lên thuyền.","I got on a boat.","배로 여행했어요.","Tôi đã đi du lịch bằng thuyền.","I traveled by ship."
201,비행기,Máy bay,Airplane,"비행기를 탔어요.","Tôi đã lên máy bay.","I took an airplane.","비행기로 여행해요.","Tôi đi du lịch bằng máy bay.","I travel by airplane."
202,전차,Tàu điện,Tram,"전차를 탔어요.","Tôi đã đi tàu điện.","I took a tram.","전차로 이동했어요.","Tôi đã di chuyển bằng tàu điện.","I traveled by tram."
203,모범택시,Taxi cao cấp,Deluxe taxi,"모범택시를 탔어요.","Tôi đã đi taxi cao cấp.","I took a deluxe taxi.","모범택시는 요금이 비싸요.","Taxi cao cấp có giá cao.","Deluxe taxi is expensive."
204,개인택시,Taxi cá nhân,Private taxi,"개인택시를 불러요.","Tôi gọi taxi cá nhân.","I call a private taxi.","개인택시가 편리해요.","Taxi cá nhân tiện lợi.","Private taxi is convenient."
205,요금,Giá vé/Phí,Fare/Charge,"요금을 내세요.","Hãy trả phí.","Pay the fare.","요금이 얼마예요?","Giá vé là bao nhiêu?","How much is the fare?"
206,버스 정거장(정류장),Trạm xe buýt,Bus stop,"버스 정거장에서 기다려요.","Tôi chờ ở trạm xe buýt.","I wait at the bus stop.","버스 정류장이 가까워요.","Trạm xe buýt gần đây.","The bus stop is nearby."
207,고속버스,Xe buýt cao tốc,Express bus,"고속버스를 탔어요.","Tôi đã đi xe buýt cao tốc.","I took an express bus.","고속버스로 여행해요.","Tôi đi du lịch bằng xe buýt cao tốc.","I travel by express bus."
208,시내버스,Xe buýt nội thành,City bus,"시내버스를 이용해요.","Tôi đi xe buýt nội thành.","I use the city bus.","시내버스가 많아요.","Có nhiều xe buýt nội thành.","There are many city buses."
209,버스 터미날,Bến xe buýt,Bus terminal,"버스 터미날에 갔어요.","Tôi đã đến bến xe buýt.","I went to the bus terminal.","버스 터미날이 넓어요.","Bến xe buýt rộng rãi.","The bus terminal is spacious."
210,마을 버스,Xe buýt khu vực,Local bus,"마을 버스를 탔어요.","Tôi đã đi xe buýt khu vực.","I took a local bus.","마을 버스가 편리해요.","Xe buýt khu vực tiện lợi.","Local bus is convenient."
211,매표소,Quầy bán vé,Ticket office,"매표소에서 표를 샀어요.","Tôi đã mua vé ở quầy bán vé.","I bought a ticket at the ticket office.","매표소가 어디예요?","Quầy bán vé ở đâu?","Where is the ticket office?"
212,지하철 노선도,Bản đồ tuyến tàu điện ngầm,Subway map,"지하철 노선도를 봤어요.","Tôi đã xem bản đồ tuyến tàu điện ngầm.","I looked at the subway map.","노선도를 참고하세요.","Hãy tham khảo bản đồ tuyến.","Refer to the route map."
213,주유소,Trạm xăng,Gas station,"주유소에서 기름을 넣었어요.","Tôi đã đổ xăng ở trạm xăng.","I filled up at the gas station.","주유소가 멀어요.","Trạm xăng xa.","The gas station is far."
214,횡단보도,Vạch sang đường,Crosswalk,"횡단보도를 건너세요.","Hãy sang đường ở vạch sang đường.","Cross the crosswalk.","횡단보도가 안전해요.","Vạch sang đường an toàn.","The crosswalk is safe."
215,육교,Cầu vượt,Overpass,"육교를 건너요.","Tôi đi qua cầu vượt.","I cross the overpass.","육교가 높아요.","Cầu vượt cao.","The overpass is high."
216,지하도,Đường hầm đi bộ,Underpass,"지하도를 이용하세요.","Hãy sử dụng đường hầm đi bộ.","Use the underpass.","지하도가 길어요.","Đường hầm đi bộ dài.","The underpass is long."
217,신호등,Đèn giao thông,Traffic light,"신호등을 지키세요.","Hãy tuân thủ đèn giao thông.","Obey the traffic light.","신호등이 빨간색이에요.","Đèn giao thông màu đỏ.","The traffic light is red."
218,고속도로,Đường cao tốc,Highway,"고속도로를 달려요.","Tôi chạy trên đường cao tốc.","I drive on the highway.","고속도로가 넓어요.","Đường cao tốc rộng.","The highway is wide."
219,도로,Đường phố,Road,"도로가 복잡해요.","Đường phố phức tạp.","The road is complicated.","도로에서 사고가 났어요.","Có tai nạn trên đường phố.","There was an accident on the road."
220,내리다,Xuống,Get off,"버스에서 내리세요.","Hãy xuống xe buýt.","Get off the bus.","비가 내리다.","Trời mưa.","It rains."
221,갈아타다,Chuyển xe,Transfer,"지하철을 갈아타요.","Tôi chuyển tàu điện ngầm.","I transfer the subway.","버스를 갈아타다.","Chuyển xe buýt.","Transfer the bus."
222,길이 막히다,Kẹt đường,Be jammed,"길이 막혀서 늦었어요.","Tôi bị kẹt đường nên đến muộn.","I was late because the road was jammed.","아침마다 길이 막혀요.","Sáng nào cũng kẹt đường.","The road is jammed every morning."
223,시간이 걸리다,Mất thời gian,Take time,"시간이 많이 걸려요.","Mất nhiều thời gian.","It takes a lot of time.","여행에 시간이 걸려요.","Đi du lịch mất thời gian.","Travel takes time."
224,교통사고가 나다,Xảy ra tai nạn giao thông,Have a traffic accident,"교통사고가 났어요.","Đã xảy ra tai nạn giao thông.","There was a traffic accident.","도로에서 교통사고가 나요.","Tai nạn giao thông xảy ra trên đường.","Traffic accident happens on the road."
225,간식,Đồ ăn vặt,Snack,"간식을 먹었어요.","Tôi đã ăn đồ ăn vặt.","I ate a snack.","간식을 준비했어요.","Tôi đã chuẩn bị đồ ăn vặt.","I prepared snacks."
226,노랗다,Màu vàng,Be yellow,"노란 꽃이 예뻐요.","Hoa màu vàng đẹp.","Yellow flowers are pretty.","잎이 노랗게 변했어요.","Lá đã chuyển sang màu vàng.","The leaves turned yellow."
227,빨갛다,Màu đỏ,Be red,"빨간 사과가 맛있어요.","Táo đỏ ngon.","Red apples are delicious.","입술이 빨갛다.","Môi đỏ.","Lips are red."
228,야경,Cảnh đêm,Night view,"야경이 아름다워요.","Cảnh đêm đẹp.","The night view is beautiful.","야경을 구경했어요.","Tôi đã ngắm cảnh đêm.","I enjoyed the night view."
229,구경,Tham quan,Visit/Sightseeing,"구경을 갔어요.","Tôi đã đi tham quan.","I went sightseeing.","시장 구경을 했어요.","Tôi đã tham quan chợ.","I visited the market."
230,관광,Du lịch,Travel/Tourism,"관광을 즐겨요.","Tôi thích du lịch.","I enjoy traveling.","관광 명소를 방문했어요.","Tôi đã đến địa điểm du lịch nổi tiếng.","I visited a tourist attraction."
231,학원,Trung tâm học thêm,Academy,"학원에 다녀요.","Tôi đi học ở trung tâm.","I go to an academy.","영어 학원에 등록했어요.","Tôi đã đăng ký học tiếng Anh ở trung tâm.","I enrolled in an English academy."
232,지각하다,Đi trễ,Be late,"수업에 지각했어요.","Tôi đã đi học trễ.","I was late for class.","지각하지 마세요.","Đừng đi trễ nhé.","Don't be late."
233,파랗다,Màu xanh dương,Be blue,"하늘이 파래요.","Trời màu xanh dương.","The sky is blue.","파란 바다가 예뻐요.","Biển xanh đẹp.","The blue sea is pretty."
234,학생회관,Nhà sinh viên,Student center,"학생회관에서 만나요.","Gặp nhau ở nhà sinh viên.","Meet at the student center.","학생회관에 식당이 있어요.","Nhà sinh viên có nhà ăn.","There is a cafeteria in the student center."
235,KTX,Tàu cao tốc Hàn Quốc,KTX train,"KTX를 탔어요.","Tôi đã đi tàu cao tốc KTX.","I took the KTX train.","KTX로 서울에 갔어요.","Tôi đã đi Seoul bằng KTX.","I went to Seoul by KTX."